Maintenance_ID,Machine_ID,Maintenance_Type,Maintenance_Date,Performed_By
2001,212,Scheduled,2025-02-28,1017
2002,218,Fault,2025-03-03,1003
2003,213,Fault,2025-02-24,1018
2004,217,Scheduled,2025-02-08,1007
2005,219,Fault,2025-03-09,1014
2006,218,Scheduled,2025-03-25,1015
2007,205,Fault,2025-04-04,1006
2008,204,Fault,2025-03-16,1014
2009,216,Scheduled,2025-03-04,1008
2010,219,Fault,2025-02-08,1003
2011,214,Fault,2025-03-21,1005
2012,220,Scheduled,2025-03-04,1003
2013,212,Scheduled,2025-04-03,1013
2014,212,Fault,2025-03-06,1014
2015,211,Scheduled,2025-03-20,1011
2016,209,Fault,2025-03-04,1006
2017,203,Scheduled,2025-02-07,1019
2018,202,Scheduled,2025-03-25,1008
2019,217,Scheduled,2025-02-11,1010
2020,216,Fault,2025-02-24,1013
2101,203,Fault,2025-04-05,1002
2102,203,Scheduled,2025-04-05,1003
3001,203,Fault,2025-04-01,1001
3002,203,Scheduled,2025-04-02,1001
3003,203,Fault,2025-04-03,1001
3004,203,Scheduled,2025-04-04,1001
5001,203,Scheduled,2025-03-11,1001
5002,203,Fault,2025-03-14,1002
5003,203,Scheduled,2025-04-02,1002
5004,203,Scheduled,2025-03-15,1002
5005,203,Fault,2025-03-21,1002
5006,204,Fault,2025-03-27,1002
5007,204,Scheduled,2025-03-29,1003
5008,204,Scheduled,2025-03-26,1002
5009,204,Scheduled,2025-03-26,1002
5010,204,Fault,2025-03-30,1002
5011,205,Scheduled,2025-03-24,1003
5012,205,Scheduled,2025-04-01,1001
5013,205,Scheduled,2025-03-29,1002
5014,205,Scheduled,2025-04-04,1003
5015,205,Fault,2025-03-26,1001
