Product_ID,Product_Name,Description,Manufacture_Cost,Base_Sales_Price
301,Flywheel,Part_301 used in heavy vehicles.,420.30,609.4350
302,Screw,Part_302 used in heavy vehicles.,286.67,415.6715
303,Bolt,Part_303 used in heavy vehicles.,54.59,79.1555
304,Bolt,Part_304 used in heavy vehicles.,203.58,295.1910
305,Gearbox,Part_305 used in heavy vehicles.,337.78,489.7810
306,Screw,Part_306 used in heavy vehicles.,55.48,80.4460
307,Clutch Plate,Part_307 used in heavy vehicles.,239.09,346.6805
308,Bolt,Part_308 used in heavy vehicles.,165.67,240.2215
309,Flywheel,Part_309 used in heavy vehicles.,69.99,101.4855
310,Flywheel,Part_310 used in heavy vehicles.,147.02,213.1790
311,Screw,Part_311 used in heavy vehicles.,137.39,199.2155
312,Gearbox,Part_312 used in heavy vehicles.,163.58,237.1910
313,Flywheel,Part_313 used in heavy vehicles.,92.54,134.1830
314,Clutch Plate,Part_314 used in heavy vehicles.,360.68,522.9860
315,Clutch Plate,Part_315 used in heavy vehicles.,116.86,169.4470
316,Screw,Part_316 used in heavy vehicles.,50.59,73.3555
317,Clutch Plate,Part_317 used in heavy vehicles.,242.17,351.1465
318,Bolt,Part_318 used in heavy vehicles.,91.30,132.3850
319,Screw,Part_319 used in heavy vehicles.,105.18,152.5110
320,Gearbox,Part_320 used in heavy vehicles.,472.05,684.4725
