Serial_Number,Product_ID,Machine_ID,Manufacture_DateTime
10001,302,212,2025-03-29 00:00:00.000
10002,309,215,2025-03-30 00:00:00.000
10003,308,216,2025-03-18 00:00:00.000
10004,309,220,2025-04-03 00:00:00.000
10005,314,218,2025-04-05 19:47:08.383
10006,302,212,2025-03-08 00:00:00.000
10007,305,204,2025-03-22 00:00:00.000
10008,312,206,2025-03-12 00:00:00.000
10009,305,207,2025-04-02 00:00:00.000
10010,302,217,2025-04-05 00:00:00.000
10011,318,209,2025-03-06 00:00:00.000
10012,304,205,2025-03-12 00:00:00.000
10013,309,205,2025-03-07 00:00:00.000
10014,306,213,2025-03-29 00:00:00.000
10015,308,210,2025-03-11 00:00:00.000
10016,305,215,2025-04-02 00:00:00.000
10017,312,202,2025-03-20 00:00:00.000
10018,312,211,2025-03-13 00:00:00.000
10019,309,214,2025-04-02 00:00:00.000
10020,311,215,2025-04-05 00:00:00.000
